"scrambleId";"competitionId";"eventId";"roundTypeId";"groupId";"isExtra";"scrambleNum";"scramble";"edge.targets";"corner.targets";"edge.twists";"corner.twists";"pairity"
1992;"ZonhovenOpen2014";"333bf";"f";"A";1;2;"D' U F2 D' U B2 D B' D2 B' U F' D R B2 F2 R2 U2 R D'";9;7;1;0;"pairity"
2207;"IITRoorkeeOpen2014";"333bf";"f";"A";0;1;"B F D2 B2 F D2 L2 F' L' U L U' F2 D' L' B D2 R B' L'";12;6;0;1;"no pairity"
2208;"IITRoorkeeOpen2014";"333bf";"f";"A";0;2;"B2 F2 R2 U2 B2 U2 F2 D R2 F R' D2 L' B F U' R2 D R' U L2 U'";11;7;1;1;"pairity"
2209;"IITRoorkeeOpen2014";"333bf";"f";"A";0;3;"L2 U2 F2 R2 F U2 B D2 L B2 R2 U' B2 L2 R F' R2 B2 D' L' F2";12;8;0;0;"no pairity"
2210;"IITRoorkeeOpen2014";"333bf";"f";"A";1;1;"U' R2 F2 D2 L2 D F2 U L2 D' F L2 U L' R2 U F2 D U' L B'";10;6;1;0;"no pairity"
2211;"IITRoorkeeOpen2014";"333bf";"f";"A";1;2;"L2 U' R2 U' B2 U' F2 D2 L U B' F L B' F L2 B2 R2 F2 L' F'";12;6;0;1;"no pairity"
2212;"IITRoorkeeOpen2014";"333bf";"f";"B";0;1;"D2 R2 D2 B2 D' R2 B2 D L2 D2 L B' D2 L2 U' B2 U2 F' R' B' D' B' L";9;5;1;0;"pairity"
2213;"IITRoorkeeOpen2014";"333bf";"f";"B";0;2;"U2 B2 R2 B2 L D2 L2 R' B' R F' D R2 F2 L' B' D2 B2 U B' L";9;1;1;4;"pairity"
2214;"IITRoorkeeOpen2014";"333bf";"f";"B";0;3;"B2 R' F2 D2 L' R2 F2 R2 D2 R B2 U' B2 L2 F' D2 B' D' R' U2 B";13;5;0;1;"pairity"
2215;"IITRoorkeeOpen2014";"333bf";"f";"B";1;1;"B2 D2 B2 D B2 F2 D' U2 L U' B U' L2 F L2 R D' R F' L B";11;7;0;0;"pairity"
2216;"IITRoorkeeOpen2014";"333bf";"f";"B";1;2;"L' R' F2 L2 U2 L' F2 U2 B L U L' D2 U B F2 D B2 D2 L' F";12;8;0;0;"no pairity"
2217;"IITRoorkeeOpen2014";"333bf";"f";"C";0;1;"F2 R2 D' R2 U2 R2 D' B2 L' U' F' L B' R' B R' D2 U2 F L B2";12;6;1;1;"no pairity"
2218;"IITRoorkeeOpen2014";"333bf";"f";"C";0;2;"D2 B2 U' L2 F2 U B2 D U2 B2 U' L U2 R2 U F' D F R D' U2 L' F'";9;7;1;1;"pairity"
2219;"IITRoorkeeOpen2014";"333bf";"f";"C";0;3;"L2 B L2 D2 B' R2 F2 U2 B' U2 L2 U F' D2 F' L R U' F' L R' D";13;7;0;0;"pairity"
2220;"IITRoorkeeOpen2014";"333bf";"f";"C";1;1;"L2 U2 F' U2 F' U2 L2 F L2 R2 U' F' L' B L2 D R' D' F' L' D2";10;8;1;0;"no pairity"
2221;"IITRoorkeeOpen2014";"333bf";"f";"C";1;2;"B2 F2 D R2 F2 L2 R2 D' R2 D2 R' U R2 B F D B' L' D L2 U";11;7;1;1;"pairity"
2404;"SantoDomingoSpring2014";"333bf";"f";"A";0;1;"U' F2 U B2 D L2 R2 D2 B' U B R2 F D' R' B' U L' B F D'";13;7;0;0;"pairity"
2405;"SantoDomingoSpring2014";"333bf";"f";"A";0;2;"F2 U2 F' D2 R2 B L2 U2 B2 U' B2 F U' R' B2 R F U2 L B'";10;8;0;0;"no pairity"
2406;"SantoDomingoSpring2014";"333bf";"f";"A";0;3;"U2 R2 B L2 F2 U2 F D2 F D R' F' U L2 U L F2 R D R B R'";12;8;0;0;"no pairity"
2407;"SantoDomingoSpring2014";"333bf";"f";"A";1;1;"U B2 U' L2 R2 D' U' L2 D' L' U B2 D' L2 B' L2 R' U' B2 R2 D";10;6;0;1;"no pairity"
2408;"SantoDomingoSpring2014";"333bf";"f";"A";1;2;"L2 R2 F2 D' R2 D U2 R2 D' L2 B' D L' B R' B F2 L2 R' D' B' L'";11;7;0;1;"pairity"
3439;"CMIFiestaOpen2014";"333bf";"1";"A";0;1;"U B2 D2 L2 F2 D' L2 U' F2 U2 R B' D2 U2 L2 D2 F D U2 F2 U2 L B";9;7;0;1;"pairity"
3440;"CMIFiestaOpen2014";"333bf";"1";"A";0;2;"B2 U B2 L2 U2 L2 F2 L2 U F2 L B D' B U L' B' D2 R' U2 B2 L' F";10;8;1;0;"no pairity"
3441;"CMIFiestaOpen2014";"333bf";"1";"A";0;3;"D2 R D2 L2 R D2 F2 R2 F2 R' D B R' B' D2 B2 D' F R' B'";13;9;0;0;"pairity"
3442;"CMIFiestaOpen2014";"333bf";"1";"A";1;1;"D' F2 U' B2 L2 D L2 B2 L2 D L2 F' L' F' L2 R2 U L2 U2 L' B' L'";11;7;1;0;"pairity"
3443;"CMIFiestaOpen2014";"333bf";"1";"A";1;2;"D2 B' R2 B' L2 B' F2 U2 L' R' B R B2 D' B2 R2 D F' U L B'";13;5;0;1;"pairity"
3444;"CMIFiestaOpen2014";"333bf";"1";"B";0;1;"F2 D' R2 D' F2 U L2 U F2 D' L F' D L2 U2 L' U' B L R'";11;9;0;0;"pairity"
3445;"CMIFiestaOpen2014";"333bf";"1";"B";0;2;"L2 F2 D' U2 R2 D2 U R2 B' L2 B2 L' F U2 L' B' F2 L2 U L2 U";11;5;1;2;"pairity"
3446;"CMIFiestaOpen2014";"333bf";"1";"B";0;3;"F2 L2 B2 F2 D U2 L2 D2 R2 B2 R' U B2 L2 B' R F' U2 B2 U' L2 U'";12;6;0;2;"no pairity"
3447;"CMIFiestaOpen2014";"333bf";"1";"B";1;1;"U2 L2 D U' R2 D L2 B2 L' R2 U' B2 F D2 R2 U F' U R' B' L'";12;4;0;1;"no pairity"
3448;"CMIFiestaOpen2014";"333bf";"1";"B";1;2;"D2 B2 D F2 L2 U L2 B2 U L F2 D' B2 U2 L2 B L' B' U F2 L B'";11;5;1;2;"pairity"
3449;"CMIFiestaOpen2014";"333bf";"1";"C";0;1;"B2 R U2 L F2 R2 D2 U2 B2 L B L D U F2 R2 F2 L F' U' L B2";11;9;2;0;"pairity"
3450;"CMIFiestaOpen2014";"333bf";"1";"C";0;2;"U2 B2 L' F2 R' B2 D2 F' U' L' B' F L' R' D2 L R' D B R'";10;6;0;1;"no pairity"
3451;"CMIFiestaOpen2014";"333bf";"1";"C";0;3;"D' B2 U' L2 F2 U' R2 D2 R2 F' L' B D2 U2 L' U' R D2 R D";13;5;0;1;"pairity"
3452;"CMIFiestaOpen2014";"333bf";"1";"C";1;1;"F L2 F' D2 R2 B2 D2 B' U2 R2 B2 D B2 L' D R U' F' L B D";10;8;1;0;"no pairity"
3453;"CMIFiestaOpen2014";"333bf";"1";"C";1;2;"D2 R2 B2 R D2 R U2 L2 B' L2 D' B2 F2 L2 D L' F2 D L B";11;7;1;0;"pairity"
3454;"CMIFiestaOpen2014";"333bf";"1";"D";0;1;"F2 D2 L2 B2 F2 D2 F2 L' B2 L2 D2 F L' B2 F L' R U' L U F L B'";12;6;0;0;"no pairity"
3455;"CMIFiestaOpen2014";"333bf";"1";"D";0;2;"L2 B2 U' F2 D R2 F2 U B2 R F2 R2 D' F D' F L' F2 D' B' L";12;6;0;1;"no pairity"
3456;"CMIFiestaOpen2014";"333bf";"1";"D";0;3;"R' F2 R2 D2 U2 B2 R F2 L' F2 L2 D' L' U' R D' L' F L2 U2 B R";8;6;2;0;"no pairity"
3457;"CMIFiestaOpen2014";"333bf";"1";"D";1;1;"D2 U2 F2 L2 U2 L R' D2 B L' R' U' F' D U R' F' D U L2";13;5;0;1;"pairity"
3458;"CMIFiestaOpen2014";"333bf";"1";"D";1;2;"U2 B2 L2 D R2 B2 U2 B2 U' L2 U' L' B R' B2 U' L2 D R F2 L2 D'";12;6;1;0;"no pairity"
3459;"CMIFiestaOpen2014";"333bf";"1";"E";0;1;"U' R2 B2 D R2 D2 F2 R2 B2 R2 U R D2 B L' B' F D B2 L2 B R";9;7;0;1;"pairity"
3460;"CMIFiestaOpen2014";"333bf";"1";"E";0;2;"R2 B2 R' D2 L' R' B2 L' D2 U2 B U F L' B2 U B2 U2 F2 R' D L2 U'";8;6;2;1;"no pairity"
3461;"CMIFiestaOpen2014";"333bf";"1";"E";0;3;"L D2 F2 L' U2 L2 D2 L2 F2 U2 R D' B D R2 B' U B' R F' U2 L'";12;6;0;0;"no pairity"
3462;"CMIFiestaOpen2014";"333bf";"1";"E";1;1;"L2 F L2 F L2 R2 B2 U2 F' U2 R F2 L' D R' F' L' D2 U";12;8;0;0;"no pairity"
3463;"CMIFiestaOpen2014";"333bf";"1";"E";1;2;"L2 D2 B2 D2 F2 R2 D B2 L2 B F' D' F2 R D2 U B F2 D L2";12;2;1;4;"no pairity"
